date,model,quant,simd,layers_real,size_MB,tok_call,alpha_eff,build,measurement_type,status_tags,notes
2026-03,Qwen2.5-0.5B,Q8_0,no,24,644,6,1.5,gian,binary_search,runs=single_run; quality=verified; env=local; build=historical; role=calibration,calibration table
2026-04,Qwen2.5-0.5B,Q4_0,yes,24,336,31,1.306,gian,binary_search,runs=repeated; quality=verified; env=local; build=build_sensitive; role=calibration,calibration table [VARIANCE UPDATE 31.0±0.0]
2026-03,Qwen2.5-0.5B,Q4_K_M,yes,24,379,21,,gian,binary_search,runs=single_run; quality=not_checked; env=local; build=historical; role=supporting_measurement,multi-format
2026-03,Qwen2.5-0.5B,Q8_0,yes,24,644,30,,gian,binary_search,runs=single_run; quality=verified; env=local; build=historical; role=supporting_measurement,SIMD enabled
2026-03,Qwen2.5-0.5B,TQ2_0,no,24,305,23,,gian,binary_search,runs=single_run; quality=not_checked; env=local; build=historical; role=systems_demo,ternary scalar
2026-03,Qwen2.5-0.5B,TQ2_0,yes,24,305,29,,gian,binary_search,runs=single_run; quality=not_checked; env=local; build=historical; role=systems_demo,ternary SIMD
2026-03,H2O-Danube3-500M,Q4_0,yes,16,288.5,27,1.48,gian,binary_search,runs=single_run; quality=not_checked; env=local; build=historical; role=calibration,calibration table
2026-03,H2O-Danube3-500M,Q8_0,yes,16,521,33,,gian,binary_search,runs=single_run; quality=not_checked; env=local; build=historical; role=supporting_measurement,SIMD enabled
2026-04,Bloomz-560M,Q3_K_M,yes,24,469,20,1.79,upstream,binary_search,runs=single_run; quality=not_checked; env=local; build=current; role=calibration,outlier — uses Q3_K_M not Q8_0
2026-04,Qwen3-0.6B,Q8_0,yes,28,610,22,1.52,upstream,binary_search,runs=single_run; quality=not_checked; env=local; build=current; role=calibration,upstream fork validation
2026-03,Gemma3-1B-IT,Q2_K,yes,26,658,4,5,gian,binary_search,runs=single_run; quality=not_checked; env=local; build=historical; role=negative_result,Q2_K overhead massive — NOT VIABLE on ICP
